id,name,url,review_count,categories,rating,latitude,longitude,price,location,phone
0W4lkclzZThpx3V65bVgig,Schwartz's,https://www.yelp.com/biz/schwartzs-montr%C3%A9al-4,2697,"['delis', 'sandwiches']",4.0,45.516353,-73.577642,$$,"['3895 Boulevard Saint-Laurent', 'Montreal, QC H2W 1X9', 'Canada']",+15148424813
EpAXhhvS-8U9aG2LlAr5WA,Le Majestique,https://www.yelp.com/biz/le-majestique-montr%C3%A9al-2,167,"['bars', 'newcanadian']",4.5,45.5175436,-73.5802618,$$,"['4105 Boulevard Saint-Laurent', 'Montreal, QC H2W 1Y7', 'Canada']",+15144391850
yU3p0tEBtGuZLTcsBHw9uQ,Le Passé Composé,https://www.yelp.com/biz/le-pass%C3%A9-compos%C3%A9-montr%C3%A9al-4,311,"['breakfast_brunch', 'bistros']",4.5,45.520079,-73.556603,$$,"['1310 Boulevard de Maisonneuve E', 'Montreal, QC H2L 2A5', 'Canada']",+15145246663
K7szuaFnuV6nz4w_i-bLPg,Ma Poule Mouillée,https://www.yelp.com/biz/ma-poule-mouill%C3%A9e-montr%C3%A9al,473,"['portuguese', 'chickenshop']",4.5,45.5252188,-73.5750686,$$,"['969 Rue Rachel Est', 'Montreal, QC H2J 2J4', 'Canada']",+15145225175
wzugmCevnXuCMCF4upAf0w,Kazu,https://www.yelp.com/biz/kazu-montr%C3%A9al-2,661,['japanese'],4.5,45.492867,-73.580078,$$,"['1844 Rue Sainte-Catherine O', 'Montreal, QC H3H 1M1', 'Canada']",+15149372333
IVBEPk_gKQMcK8RbkQgQqA,Chung Chun,https://www.yelp.com/biz/chung-chun-montr%C3%A9al,8,"['hotdog', 'korean', 'hotdogs']",4.5,45.49461727004126,-73.57908167055226,,"['1418 Rue Pierce', 'Montreal, QC H3H 2K2', 'Canada']",
xaVPhmM52rvF_Kxfmn57Bg,Daldongnae,https://www.yelp.com/biz/daldongnae-montr%C3%A9al,16,"['korean', 'bbq']",5.0,45.49575,-73.5753,,"['1216 Rue Bishop', 'Montreal, QC H3G 2E3', 'Canada']",+15148781111
ARfXk9Sa2vrK36fAGvdmWQ,Damas,https://www.yelp.com/biz/damas-montr%C3%A9al,342,['syrian'],5.0,45.52258,-73.61344,$$$,"['1201 Avenue Van Horne', 'Montreal, QC H2V 1K4', 'Canada']",+15144395435
J6qWt6XIUmIGFHX5rQJA-w,L'Avenue,https://www.yelp.com/biz/l-avenue-montr%C3%A9al,1150,['breakfast_brunch'],4.5,45.5266781712886,-73.5802391312828,$$,"['922 Avenue du Mont-Royal E', 'Montreal, QC H2J 1X2', 'Canada']",+15145238780
5T6kFKFycym_GkhgOiysIw,La Banquise,https://www.yelp.com/biz/la-banquise-montr%C3%A9al-2,1957,['poutineries'],4.0,45.525354,-73.574769,$$,"['994 Rue Rachel E', 'Montreal, QC H2J 2J3', 'Canada']",+15145252415
